                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
            Shuigeng Zhou	              Jihong Guan	               	       139	   276	   186	     0	0.5036	0.7473	0.0000	0.5036	0.7473
         Xiang Cheng 0001	        Liuqing Yang 0001	               	       139	   228	   285	     0	0.6096	0.4877	0.0000	0.4877	0.6096
              Dhruv Batra	              Devi Parikh	               	       139	   231	   254	     0	0.6017	0.5472	0.0000	0.5472	0.6017
             Gudula Rnger	            Thomas Rauber	               	       138	   224	   215	     0	0.6161	0.6419	0.0000	0.6161	0.6419
          Hong Zhang 0001	           Chao Wang 0004	               	       137	   141	   142	     0	0.9716	0.9648	0.0000	0.9648	0.9716
          Cheng Wang 0003	         Jonathan Li 0001	               	       137	   164	   251	     0	0.8354	0.5458	0.0000	0.5458	0.8354
          George R. Thoma	         Sameer K. Antani	               	       137	   238	   238	     0	0.5756	0.5756	0.0000	0.5756	0.5756
             Hong Ji 0001	               Xi Li 0004	               	       136	   211	   138	     0	0.6445	0.9855	0.0000	0.6445	0.9855
             Takeshi Hara	      Hiroshi Fujita 0001	               	       136	   139	   193	     0	0.9784	0.7047	0.0000	0.7047	0.9784
              Marco Baldi	        Franco Chiaraluce	               	       136	   166	   163	     0	0.8193	0.8344	0.0000	0.8193	0.8344
             Tiejun Huang	       Yonghong Tian 0001	               	       136	   278	   227	     0	0.4892	0.5991	0.0000	0.4892	0.5991
            Reza Nejabati	       Dimitra Simeonidou	               	       135	   142	   226	     0	0.9507	0.5973	0.0000	0.5973	0.9507
         Jos Machado 0001	            Antnio Abelha	               	       135	   167	   147	     0	0.8084	0.9184	0.0000	0.8084	0.9184
             Maria Ganzha	         Marcin Paprzycki	               	       135	   148	   248	     0	0.9122	0.5444	0.0000	0.5444	0.9122
        Slawomir Zadrozny	          Janusz Kacprzyk	               	       135	   159	   289	     0	0.8491	0.4671	0.0000	0.4671	0.8491
        Yiannis Aloimonos	        Cornelia Fermller	               	       135	   223	   173	     0	0.6054	0.7803	0.0000	0.6054	0.7803
               Xipeng Qiu	           Xuanjing Huang	               	       135	   190	   301	     0	0.7105	0.4485	0.0000	0.4485	0.7105
          Roman Slowinski	          Salvatore Greco	               	       135	   252	   196	     0	0.5357	0.6888	0.0000	0.5357	0.6888
     Francisco J. Cazorla	             Jaume Abella	               	       135	   210	   204	     0	0.6429	0.6618	0.0000	0.6429	0.6618
            Kang Liu 0001	            Jun Zhao 0001	               	       134	   140	   186	     0	0.9571	0.7204	0.0000	0.7204	0.9571
           Liang Gao 0001	            Xinyu Li 0001	               	       134	   272	   141	     0	0.4926	0.9504	0.0000	0.4926	0.9504
              Xuehai Zhou	           Chao Wang 0003	               	       134	   194	   150	     0	0.6907	0.8933	0.0000	0.6907	0.8933
               Ali Chehab	          Ayman I. Kayssi	               	       134	   229	   165	     0	0.5852	0.8121	0.0000	0.5852	0.8121
            Adrin Cristal	           Osman S. Unsal	               	       134	   183	   178	     0	0.7322	0.7528	0.0000	0.7322	0.7528
           Donato Malerba	        Michelangelo Ceci	               	       134	   303	   180	     0	0.4422	0.7444	0.0000	0.4422	0.7444
             Jol Ouaknine	       James Worrell 0001	               	       134	   187	   212	     0	0.7166	0.6321	0.0000	0.6321	0.7166
         Jean-Luc Gauvain	               Lori Lamel	               	       134	   202	   223	     0	0.6634	0.6009	0.0000	0.6009	0.6634
             Jerzy Tyszer	            Janusz Rajski	               	       133	   140	   268	     0	0.9500	0.4963	0.0000	0.4963	0.9500
          Vijay Gadepally	            Jeremy Kepner	               	       133	   171	   217	     0	0.7778	0.6129	0.0000	0.6129	0.7778
          Eiichiro Sumita	            Masao Utiyama	               	       133	   321	   182	     0	0.4143	0.7308	0.0000	0.4143	0.7308
              Yasuaki Ito	              Koji Nakano	               	       132	   140	   272	     0	0.9429	0.4853	0.0000	0.4853	0.9429
            Syoji Kobashi	              Yutaka Hata	               	       132	   180	   245	     0	0.7333	0.5388	0.0000	0.5388	0.7333
           Nikolay Shilov	Alexander V. Smirnov 0001	               	       131	   156	   224	     0	0.8397	0.5848	0.0000	0.5848	0.8397
        Keisuke Kinoshita	        Tomohiro Nakatani	               	       131	   157	   285	     0	0.8344	0.4596	0.0000	0.4596	0.8344
             Jun Sun 0001	            Jin Song Dong	               	       131	   260	   249	     0	0.5038	0.5261	0.0000	0.5038	0.5261
        Saraju P. Mohanty	          Elias Kougianos	               	       130	   313	   133	     0	0.4153	0.9774	0.0000	0.4153	0.9774
         Juan-Carlos Cano	Carlos Miguel Tavares Calafate	               	       130	   303	   151	     0	0.4290	0.8609	0.0000	0.4290	0.8609
     Manuel Montes-y-Gmez	    Luis Villaseor Pineda	               	       130	   251	   161	     0	0.5179	0.8075	0.0000	0.5179	0.8075
      Patrick Girard 0001	   Serge Pravossoudovitch	               	       129	   251	   133	     0	0.5139	0.9699	0.0000	0.5139	0.9699
Jos Francisco Martnez Trinidad	Jess Ariel Carrasco-Ochoa	               	       129	   145	   172	     0	0.8897	0.7500	0.0000	0.7500	0.8897
           Chunxiao Jiang	            Yong Ren 0001	               	       129	   315	   159	     0	0.4095	0.8113	0.0000	0.4095	0.8113
                Anup Basu	         Irene Cheng 0001	               	       129	   257	   192	     0	0.5019	0.6719	0.0000	0.5019	0.6719
           Ruben Verborgh	             Erik Mannens	               	       129	   227	   211	     0	0.5683	0.6114	0.0000	0.5683	0.6114
              Paola Mello	            Evelina Lamma	               	       129	   211	   233	     0	0.6114	0.5536	0.0000	0.5536	0.6114
     Michael M. Bronstein	   Alexander M. Bronstein	               	       129	   244	   235	     0	0.5287	0.5489	0.0000	0.5287	0.5489
          Massimo Villari	          Antonio Celesti	               	       128	   205	   141	     0	0.6244	0.9078	0.0000	0.6244	0.9078
          Elena Mugellini	         Omar Abou Khaled	               	       128	   141	   143	     0	0.9078	0.8951	0.0000	0.8951	0.9078
               Min-You Wu	                  Wei Shu	               	       128	   243	   169	     0	0.5267	0.7574	0.0000	0.5267	0.7574
          Xiaofei He 0001	            Deng Cai 0001	               	       128	   218	   278	     0	0.5872	0.4604	0.0000	0.4604	0.5872
         Yongming Li 0002	           Shaocheng Tong	               	       126	   135	   278	     0	0.9333	0.4532	0.0000	0.4532	0.9333
              Hongfei Lin	              Zhihao Yang	               	       126	   277	   135	     0	0.4549	0.9333	0.0000	0.4549	0.9333
  Juan Manuel Snchez-Prez	 Juan Antonio Gmez Pulido	               	       126	   137	   181	     0	0.9197	0.6961	0.0000	0.6961	0.9197
        George Mastorakis	Constandinos X. Mavromoustakis	               	       126	   147	   181	     0	0.8571	0.6961	0.0000	0.6961	0.8571
               Yanyan Lan	              Jiafeng Guo	               	       126	   151	   199	     0	0.8344	0.6332	0.0000	0.6332	0.8344
   Pedro Antonio Gutirrez	       Csar Hervs-Martnez	               	       126	   154	   196	     0	0.8182	0.6429	0.0000	0.6429	0.8182
           Olivier Pivert	             Patrick Bosc	               	       126	   218	   161	     0	0.5780	0.7826	0.0000	0.5780	0.7826
  Taisir E. H. El-Gorashi	  Jaafar M. H. Elmirghani	               	       125	   128	   311	     0	0.9766	0.4019	0.0000	0.4019	0.9766
              Mario Vento	          Pasquale Foggia	               	       125	   247	   128	     0	0.5061	0.9766	0.0000	0.5061	0.9766
         Hernn E. Aguirre	           Kiyoshi Tanaka	               	       125	   130	   177	     0	0.9615	0.7062	0.0000	0.7062	0.9615
            Franjo Pernus	            Bostjan Likar	               	       125	   145	   132	     0	0.8621	0.9470	0.0000	0.8621	0.9470
         Benno Stein 0001	          Martin Potthast	               	       125	   296	   160	     0	0.4223	0.7812	0.0000	0.4223	0.7812
           Chengqing Zong	             Jiajun Zhang	               	       125	   243	   172	     0	0.5144	0.7267	0.0000	0.5144	0.7267
             Tadashi Dohi	         Hiroyuki Okamura	               	       123	   226	   125	     0	0.5442	0.9840	0.0000	0.5442	0.9840
          Gerhard Wellein	              Georg Hager	               	       123	   142	   146	     0	0.8662	0.8425	0.0000	0.8425	0.8662
         Florent Krzakala	           Lenka Zdeborov	               	       123	   183	   168	     0	0.6721	0.7321	0.0000	0.6721	0.7321
            Ahmed Alsaedi	            Tasawar Hayat	               	       123	   210	   261	     0	0.5857	0.4713	0.0000	0.4713	0.5857
               Qi Qi 0001	         Jingyu Wang 0001	               	       122	   131	   159	     0	0.9313	0.7673	0.0000	0.7673	0.9313
             Eun-Jun Yoon	            Kee-Young Yoo	               	       122	   136	   268	     0	0.8971	0.4552	0.0000	0.4552	0.8971
              Xuehai Zhou	               Xi Li 0003	               	       122	   194	   137	     0	0.6289	0.8905	0.0000	0.6289	0.8905
         Juan-Carlos Cano	       Carlos T. Calafate	               	       122	   303	   142	     0	0.4026	0.8592	0.0000	0.4026	0.8592
     Jos Juan Pazos-Arias	         Martn Lpez Nores	               	       122	   175	   147	     0	0.6971	0.8299	0.0000	0.6971	0.8299
